set	section	group	label	value
	start	default	Text 1	Hej Prowadzę pewne badanie odnośnie tej kawiarni będzie możliwość otrzymania kuponu na kawę lub herbatę zajmie ono ok. 18 minut. Badanie jest dobrowolne anonimowe i w każdej chwile można je przerwać bez podania przyczyny. Zgadzasz się?
	start	default	Text 2	A czy mogę nagrać naszą rozmowę? Mam możliwość rejestracji dźwięku i obrazu ale rejestracja będzie tylko na potrzeby badania
	start	default	Text 3	A tak w ogóle to masz pewnie powodzenie bo masz bardzo ładne oczy
	start	default	Wygląd 1	Bardzo ładne oczy
	start	default	Text 5	A tak w ogóle to masz pewnie dobry gust bo bardzo ładnie się ubierasz.
	start	default	Text 6	Bardzo ładnie się ubierasz
	start	default	Text 7	A tak w ogóle to jesteś chyba bardzo inteligentny skoro przychodzisz tam gdzie książki.
	start	default	Text 8	Wydajesz się bardzo inteligentny
	start	default	Text 9	A tak w ogóle to pewnie jesteś zainteresowany kawą książkami skoro tu przychodzisz.
	start	default	Text 10	Wydajesz się zainteresowany tym miejscem
	start	default	Text 11	Więc jak oceniasz komfort tego miejsca  na skali od minus trzy czyli zdecydowanie negatywnie do plus trzy czyli zdecydowanie pozytywnie a zero to ani dobrze ani źle?
	start	default	Text 12	Świetnie dziękuję za opinię. Drugie pytanie - czy ogólnie asortyment w tym miejscu spełnia Twoje oczekiwania? Oceń  na skali od minus trzy do plus trzy
	start	default	Text 13	Świetnie dziękuję! Ostatnie pytanie czy   cena naszych produktów odpowiada ich jakości? Oceń  na skali od minus trzy do plus trzy
	start	default	Text 14	Czy zgodziłbyś się przekazać na potrzeby marketingowe swoje dane w celu przesyłania informacji o promocjach i wydarzeniach kawiarni?
	start	default	Text 15	W trosce o poufność i ochronę danych ich przekazanie nastąpi w szyfrowanym formularzu który udostępnimy po ukończeniu badania.
	start	default	Text 16	Dziękuję! Czy chcesz przeznaczyć kupon za udział w badaniu dla siebie czy też przekazać go innej osobie w ramach stosowanego w kawiarniach zwyczaju zawieszonej kawy?
	start	default	Text 17	Dziękuję za rozmowę - na koniec spotkania otrzymasz kupon - będziesz mógł go zatrzymać lub przekazać a nam zostało tylko uzupełnienie kwestionariuszy
