Text 1, Cześć! Mam na imię Ariadnówka. Przedstawiam Panel Ariadna – nowoczesną platformę badań naukowych. Zapraszam na pogawędkę przy naszym stoisku.
Text 2, Ariadna broni. Ariadna radzi. Ariadna nigdy Cię nie zdradzi!
Text 3, Chcesz wiedzieć naprawdę? Wybierz Ariadnę!
Text 4, Bardzo ładne oczy
Text 5, A tak w ogóle to masz pewnie dobry gust bo bardzo ładnie się ubierasz.
Text 6, Bardzo ładnie się ubierasz
Text 7, A tak w ogóle to jesteś chyba bardzo inteligentny skoro przychodzisz tam gdzie książki.  
Text 8, Wydajesz się bardzo inteligentny 
Text 9, A tak w ogóle to pewnie jesteś zainteresowany kawą książkami skoro tu przychodzisz. 
Text 10, Wydajesz się zainteresowany tym miejscem
Text 11, Więc jak oceniasz komfort tego miejsca  na skali od minus trzy czyli zdecydowanie negatywnie do plus trzy czyli zdecydowanie pozytywnie a zero to ani dobrze ani źle?
Text 12, Świetnie dziękuję za opinię. Drugie pytanie - czy ogólnie asortyment w tym miejscu spełnia Twoje oczekiwania? Oceń  na skali od minus trzy do plus trzy 
Text 13, Świetnie dziękuję! Ostatnie pytanie czy   cena naszych produktów odpowiada ich jakości? Oceń  na skali od minus trzy do plus trzy 
Text 14, Czy zgodziłbyś się przekazać na potrzeby marketingowe swoje dane w celu przesyłania informacji o promocjach i wydarzeniach kawiarni?  
Text 15, W trosce o poufność i ochronę danych ich przekazanie nastąpi w szyfrowanym formularzu który udostępnimy po ukończeniu badania. 
Text 16, Dziękuję! Czy chcesz przeznaczyć kupon za udział w badaniu dla siebie czy też przekazać go innej osobie w ramach stosowanego w kawiarniach zwyczaju zawieszonej kawy?
Text 17, Dziękuję za rozmowę - na koniec spotkania otrzymasz kupon - będziesz mógł go zatrzymać lub przekazać a nam zostało tylko uzupełnienie kwestionariuszy
